Company,Location,Number_laid_off,Layoff_date,Percent,Industry,Stage,Money_raised_mm,Date_reported
eBay,SF Bay Area,500,2/7/23,4,Retail,Post-IPO,1200,2/7/23
Gusto,SF Bay Area,126,2/8/23,5,HR,Series E,746,2/8/23
Salesloft,Atlanta,100,2/7/23,10,Sales,Acquired,245,2/8/23
Sana Benefits,Austin,,2/7/23,19,HR,Series B,106,2/8/23
VinFast US,Los Angeles,80,2/6/23,,Transportation,Subsidiary,,2/8/23
Gong,SF Bay Area,80,2/8/23,7,Sales,Series E,583,2/8/23
Affirm,SF Bay Area,500,2/8/23,19,Finance,Post-IPO,1500,2/8/23
GoDaddy,Phoenix,,2/8/23,8,Marketing,Post-IPO,800,2/8/23
Equitybee,SF Bay Area,24,2/8/23,25,Finance,Series B,85,2/8/23
GitLab,SF Bay Area,130,2/9/23,7,Product,Post-IPO,413,2/9/23
GitHub,SF Bay Area,,2/9/23,10,Product,Acquired,350,2/9/23
Yahoo,SF Bay Area,1600,2/9/23,20,Consumer,Acquired,6,2/9/23
Olive AI,Columbus,215,2/9/23,35,Healthcare,Series H,856,2/9/23
Bark,New York City,126,2/9/23,12,Retail,Post-IPO,,2/9/23
Quilt,St. Louis,,2/9/23,,Media,Unknown,,2/10/23
Nomad Health,New York City,119,2/9/23,17,Healthcare,Unknown,218,2/10/23
Rigetti Computing,SF Bay Area,,2/10/23,28,Hardware,Post-IPO,298,2/10/23
Daily Harvest,New York City,60,2/10/23,20,Food,Series D,120,2/10/23
Medly,New York City,,2/8/23,100,Healthcare,Series C,100,2/10/23
Twilio,SF Bay Area,1500,2/13/23,17,Other,Post-IPO,614,2/13/23
Western Digital,SF Bay Area,251,11/22/22,,Hardware,Post-IPO,900,2/13/23
TripleLift,New York City,100,2/10/23,20,Marketing,Acquired,16,2/13/23
LinkedIn,SF Bay Area,,2/13/23,,HR,Acquired,154,2/13/23
iRobot,Boston,85,2/13/23,7,Consumer,Acquired,30,2/14/23
Magic Eden,SF Bay Area,22,2/13/23,,Crypto,Series B,170,2/14/23
Electric,New York City,141,2/13/23,25,Other,Series D,212,2/14/23
HackerEarth,SF Bay Area,,2/14/23,8,HR,Series D,11,2/14/23
Frequency Therapeutics,Boston,,2/1/23,50,Healthcare,Post-IPO,76,2/14/23
CommerceHub,Albany,371,2/14/23,31,Retail,Acquired,,2/14/23
Udemy,SF Bay Area,,2/14/23,10,Education,Post-IPO,311,2/14/23
Collective Health,SF Bay Area,54,2/13/23,,Healthcare,Series F,719,2/14/23
Sprinklr,New York City,100,2/15/23,4,Support,Post-IPO,429,2/15/23
Blackbaud,Charleston,500,,14,Other,Post-IPO,,2/15/23
Tackle,Boise,,2/15/23,15,Other,Series C,148,2/15/23
DigitalOcean,New York City,200,2/15/23,11,Infrastructure,Post-IPO,491,2/15/23
DocuSign,SF Bay Area,680,2/16/23,10,Sales,Post-IPO,536,2/16/23
Vicarious Surgical,Boston,,2/15/23,14,Healthcare,Post-IPO,185,2/16/23
Coda,SF Bay Area,,1/18/23,,Other,Series D,240,2/16/23
Misfits Market,Philadelphia,649,2/9/23,33,Food,Series C,526,2/16/23
Observe.AI,SF Bay Area,,2/15/23,,Support,Series C,214,2/16/23
Pico interactive,SF Bay Area,400,2/16/23,20,Other,Acquired,62,2/16/23
Betterment,New York City,28,2/15/23,,Finance,Series F,435,2/16/23
ServiceTitan,Los Angeles,221,2/15/23,8,Sales,Series G,1100,2/16/23
The RealReal,SF Bay Area,230,2/16/23,7,Retail,Post-IPO,356,2/16/23
Convoy,Atlanta,,2/16/23,,Logistics,Series E,1100,2/16/23
Divvy Homes,SF Bay Area,,2/15/23,,Real Estate,Series B,180,2/16/23
Momentive,SF Bay Area,,2/15/23,14,Marketing,Post-IPO,1100,2/16/23
Beam Benefits,Columbus,31,2/8/23,8,Healthcare,Series E,168,2/17/23
Smartsheet,Seattle,85,2/16/23,3,Other,Post-IPO,152,2/17/23
Terminus,Atlanta,,5/27/22,,Marketing,Unknown,192,2/18/23
Chipper Cash,SF Bay Area,100,2/17/23,33,Finance,Series C,302,2/20/23
Fipola,Chennai,,2/20/23,100,Food,Series A,9,2/21/23
